pacemaker cell (0)	HCN4	Cx45	PRM1	CABS1	PRM2	HMGB4	GTSF1L	TXNDC2	DRICH1	CCDC54	C3ORF22	FSCB	KIF2B	CAPZA3	SPATA3	RNF148	TBC1D28	PPP1R2P9	SPATA31A1	C7ORF34	RP11.1379J22.7	RP11.798K23.3	CTA.246H3.8	SPATA31C2	HSFY1P1	RP11.98J23.1	RP11.566K19.5	SMCP	TRIM42	TCP11	C21ORF140	TBC1D3F	RP11.384K6.6	FAM71B	RNF151	CTC.441N14.4	FAM71C	RP11.404K5.2	TPD52L3	ODF1	PRR30	RP11.360D2.1	TMCO5B	C2ORF57	TBATA	SRRM5	SPATA31D1	DUSP21	RP11.266L9.3	SPZ1	CCDC168	OR2H1	CRISP2	RNF133	TMEM31	PRNT	SPPL2C	ACSBG2	OR7E156P	C20ORF173	SPATA31D5P	SPATA31C1	RP11.613H2.1	AC130709.1	FAM205A	U51561.1	SPATA31A3	TPPP2	RP11.104H15.12	C20ORF141	TMCO2	MYH6	TSSK6	AKAP4	FAM71E2	CALR3	GOLGA6L7P	CCDC188	TSKS	BPIFA3	ACTL7B	SPANXN5	PGK2	FAM205BP	SPATA31E1	SPACA4	RP11.578F21.4	HOMER2P1	LELP1	FAM71F1	H1FNT	RP11.249L12.1	DNAJB8	TNP1	RP11.526D8.7	PRSS37	PRM3	OR7E104P	TMEM191C	FAM183BP	SLC6A10P	C10ORF62
cardiomyocyte (65)	TTN	MYH7	MYL2	FHL2	LDB3	MYOM1	MYOM2	ACTN2	MYL3	SMYD1	CSRP3	MYOZ2	UNC45B	TNNC1	CKMT2	MB	ADPRHL1	NRAP	DUSP27	PLN	MYBPC3	CMYA5	SRL	LMOD2	TCAP	OBSCN	HSPB7	MYOM3	DES	TRDN	FBXO40	PGAM2	TRIM54	XIRP2	MYPN	TXLNB	FITM1	HRC	PERM1	DHRS7C	ENO3	C10ORF71	PDE4DIP	ALPK3	LRRC2	SMPX	AC013461.1	SMCO1	KLHL31	MYO18B	CASQ2	RPL3L	CKM	SYNPO2L	LRRC14B	USP13	RBM24	PEBP4	HHATL	SLC25A4	MYH7	PPP1R12B	PPP1R3A	JPH2	SVIL	TNNI3	TNNT2	XIRP1	APOBEC2	SGCG	MYZAP	LRRC39	PYGM	CLIC5	SGCA	CASQ1	ASB2	MYOZ1	AMPD1	NPY6R	MYADML2	FABP3	POPDC2	SNTA1	COX6A2	SCN5A	FHOD3	RYR2	CORO6	TECRL	KLHL38	ASB10	SLC41A1	NEBL	CTNNA3	PDLIM5	FHL1	ASB11	ADSSL1	HSPB6	ATP2A2	TNNT1	ALPK2	ANKRD2
fibroblast (67)	PDGFRA	GSN	DCN	FBLN2	ANGPTL2	CYBRD1	ZCCHC24	KANK2	C1S	C1R	FBLN1	BDKRB2	ECM2	SCARA5	SOD3	CD248	CCDC80	DDR2	MRGPRF	PODN	RECK	LRP1	PDGFRB	ADAM33	FBN1	ADGRA2	TWIST2	PTGIS	EPAS1	FSTL1	MMP2	ISLR	MXRA8	ADH1B	FMOD	EFEMP2	FBLN5	CDH11	PLPP3	COL3A1	COL6A1	HSPB6	TIMP2	PLAC9	PRRX1	IGFBP4	SVEP1	ADAMTS2	PCOLCE	SLIT3	PAMR1	COL6A2	LAMB2	EMILIN1	LAMA4	CLMP	VASN	LOX	EHD2	LOXL1	LAMA2	LTBP2	PARVA	PCDHGA12	CEMIP	MRC2	FKBP9	GREM1	GAS6	RCN3	QSOX1	TNS1	PLIN1	SEMA3G	TUSC5	WNT2	AQP7	ADAMTS5	ADIPOQ	GPD1	CHRDL1	TNXB	NID2	TNS2	SORBS1	LEP	PNPLA2	LPL	DGKI	MFAP4	LIPE	GPIHBP1	AL513122.2	NPR1	LUM	CIDEC	PLIN4	TMBIM1	FZD4	TCF21	RAPGEF3	DPT	ADIRF
macrophage (68)	CD14	C1QA	CD68	FOLR2	CTSZ	RNASE1	C1QC	STAB1	FCGRT	GRN	SLC15A3	IFI30	CD163	CTSB	LGMN	LILRB4	VSIG4	ACP5	RAB7B	NPC2	MMP9	FTL	SIGLEC1	LILRB5	NPL	FUCA1	CMKLR1	TYROBP	NINJ1	EMILIN2	MAN2B1	CTSD	CSF1R	PSAP	PILRA	TREM2	PLEKHO2	GPR84	CD4	C3AR1	METRNL	PLAUR	ADAP2	TYMP	CREG1	TNFRSF1B	TOM1	SLC43A2	MS4A4A	C1QA	CD68	FOLR2	CAPG	CD14	MMP19	SPHK1	ICAM1	OSCAR	SIGLEC9	FPR3	AMPD3	CCR5	PKD2L1	TMEM51	NR1H3	MGAT1	FCER1G	SQRDL	CTSL	LILRB2	MSC	ACP2	LGALS9	PLD3	AIF1	CCR1	GM2A	SLAMF8	C5AR1	SPI1	CTD.2192J16.22	SIRPA	PIK3R5	LHFPL2	CYBB	LAMP1	SEMA6B	CXCL16	HMOX1	CEBPB	IFNGR2	ENG	P2RY6	MS4A7	IL1RN	KCNK13	MAFB	RAB20	NFKBIE	SLCO2B1	CCRL2	TRPM2	CST3	SRC
endothelial cell (69)	PECAM1	VWF	CDH5	TIE1	ROBO4	ACVRL1	CD93	CLEC14A	HSPG2	MMRN2	PTPRB	MCAM	APLN	BCL6B	ECSCR	PLXND1	RASIP1	HYAL2	ADGRL4	FGD5	ARHGEF15	TEK	MMRN1	CALCRL	FAM43A	CXORF36	TGFBR2	ADGRF5	FLT4	SOX18	FAM198B	CDH5	VWF	HHIP	PECAM1	EFEMP1	ESAM	AFAP1L1	DLL4	GJA4	LAMA4	DOCK6	PCDH12	PDGFB	FLT1	ECE1	LYVE1	FZD4	ENG	DYSF	BMP6	EDN1	EPAS1	NOS3	SCARF1	ICAM2	ARAP3	NOTCH4	AC255361.1	TNFSF18	HSPA12B	KIAA1462	CRIM1	EMCN	COL4A2	SOX7	BMX	SHANK3	EGFL7	DCHS1	PEAR1	LRRC32	EPHB4	HTR1B	EHD4	SASH1	PCDH1	ARHGAP31	COL18A1	THBS1	LAMB1	ITGA5	PLVAP	GIMAP8	KDR	GNAI2	PPM1F	CTSS	SEC14L1	TNS1	TLR4	MMP1	NCF2	EVI2B	HLA.E	CSF2RB	MYO1F	TNS2	MPEG1	FLI1	ARAP1	MAP3K3	HCK
smooth muscle cell (70)	MYH11	TAGLN	ACTA2	CNN1	ACTG2	MYL9	MYLK	CSRP1	CALD1	KANK2	PALLD	SMTN	MRVI1	COL16A1	ADGRA2	LIMS2	TAGLN	PGM5	ACTA2	EFEMP2	PARVA	FSTL1	MXRA8	LPP	LMOD1	ADAMTS2	COL5A1	TPM2	COL1A1	LOXL2	ACTN1	TNS1	TUBB6	PDGFRB	FBN1	ITGA11	IGFBP7	EHD2	LTBP2	EMILIN1	PDLIM7	SPARC	LOXL1	SERPINH1	COL6A2	CREB3L1	LAMB2	MRGPRF	TGFB1I1	LAMC1	PTRF	NTN4	ELN	CTGF	CCDC80	ARHGEF17	COL6A1	FERMT2	FLNA	COL4A2	CDH11	PODN	COL5A2	ZNF469	BMP1	ADAMTS12	SSC5D	DDR2	FBXO32	TNS2	SMOC2	ADAM33	KIAA1462	COL14A1	PPP1R12B	GAS6	FN1	RCN3	VASN	PXDN	CKAP4	CD248	MRC2	TPM4	CLIC4	FRMD6	MFGE8	WNT5B	LOX	CRIM1	SCARF2	SYDE1	COPZ2	TIMP2	FKBP10	MYO1C	VCL	ITGB1	COL12A1	ACTC1	CALU	EXT1	CD151
fibroblast (71)	PDGFRA	GSN	LRP1	ZCCHC24	ANGPTL2	FBLN2	LAMB2	CYBRD1	KANK2	TNS1	PLIN1	SEMA3G	TUSC5	AQP7	ADIPOQ	GPD1	CHRDL1	TNXB	NID2	TNS2	SORBS1	ECM2	LEP	PNPLA2	LPL	DGKI	LIPE	GPIHBP1	AL513122.2	NPR1	DDR2	CIDEC	PLIN4	TMBIM1	FZD4	RAPGEF3	DPT	EPAS1	ADIRF	ADH1B	FMOD	PTPN13	AQP1	CFD	CDH11	PCOLCE2	AOC3	SOD3	ENG	HSPB6	SCARA5	CD81	AGPAT2	NUCB1	ITGA7	ARHGAP31	FBN1	CLEC3B	RAMP3	C1QTNF1	LIMS2	PLXND1	PLAC9	PDGFRB	ACACB	C14ORF180	MGAT1	LAMC1	GALNT15	ALDH2	FP325317.1	KLF9	PHLDB1	CEBPA	BTNL9	FSTL1	CIDEA	PRELP	COL6A3	ANXA11	TNS3	AL513122.1	COL6A1	KCNIP2	FCGRT	PRRX1	EMP1	C1QC	RECK	MGLL	MYO1C	BOK	CCDC80	RRAS	H6PD	MRAS	G0S2	RETSAT	MAP3K6	C1R	ABCA8	CCL14
pericyte (72)	RGS5	ABCC9	KCNJ8	PLXDC1	EDNRA	CCDC3	HIGD1B	FOXS1	MTND2P26	C11ORF96	RASL12	FOXF2	GUCY1A2	SEMA5A	RP11.548K12.4	ITGA1	ADAMTS18	ITIH5	HEYL	TRPC6	ABCC9	PDGFRB	PDZD2	GALNT18	HSPA12B	MOCS1	PTGDR2	CHST2	COL9A1	HEY2	MTUS1	C1QTNF5	TBX18	NR2F2	PRELP	NID1	FOXL1	IGFBP7	ZNF445	WDPCP	OPHN1	HAND2	SHISA9	RPS6KA5	HERC2P8	PEX26	CYSLTR1	L2HGDH	RET	MPV17L	C12ORF50	HERC2P5	CCDC122	SLC35E3	MCF2L2	SLC9A4	C4ORF32	FRK	RPAP2	MIPOL1	KPNA5	C12ORF45	PCDHA4	WTIP	NEDD4	ZBTB8A	TMEM212	KLHL33	BCAS4	ASB3	ADAMTSL3	CDKL5	INTU	FAM221A	SULT1B1	PHOX2A	ORC4	TBC1D8B	CFAP69	FTO	MORC4	RP11.307A17.2	OPA3	ZNF793	C4ORF36	HTN1	FAM98C	TRIM72	ZBTB8B	FAM110D	KCNJ8	RGS5	TMEM192	USP8	TTC7B	HNRNPA1P54	KCNE4	C15ORF40	ZNF506	RP11.331G2.6	RP5.1000K24.2	CHST12	FAM179A
pericyte (73)	RGS5	ABCC9	KCNJ8	PLXDC1	EDNRA	CCDC3	HIGD1B	FOXS1	MTND2P26	C11ORF96	RASL12	FOXF2	GUCY1A2	SEMA5A	RP11.548K12.4	ITGA1	ADAMTS18	ITIH5	HEYL	TRPC6	ABCC9	PDGFRB	PDZD2	GALNT18	HSPA12B	MOCS1	PTGDR2	CHST2	COL9A1	HEY2	MTUS1	C1QTNF5	TBX18	NR2F2	PRELP	NID1	FOXL1	IGFBP7	ZNF445	WDPCP	OPHN1	HAND2	SHISA9	RPS6KA5	HERC2P8	PEX26	CYSLTR1	L2HGDH	RET	MPV17L	C12ORF50	HERC2P5	CCDC122	SLC35E3	MCF2L2	SLC9A4	C4ORF32	FRK	RPAP2	MIPOL1	KPNA5	C12ORF45	PCDHA4	WTIP	NEDD4	ZBTB8A	TMEM212	KLHL33	BCAS4	ASB3	ADAMTSL3	CDKL5	INTU	FAM221A	SULT1B1	PHOX2A	ORC4	TBC1D8B	CFAP69	FTO	MORC4	RP11.307A17.2	OPA3	ZNF793	C4ORF36	HTN1	FAM98C	TRIM72	ZBTB8B	FAM110D	KCNJ8	RGS5	TMEM192	USP8	TTC7B	HNRNPA1P54	KCNE4	C15ORF40	ZNF506	RP11.331G2.6	RP5.1000K24.2	CHST12	FAM179A
telocyte (interstitial like cell of cajal) (74)	CD34	vimentin	KIAA0125P1	EGFL7	KIAA0125P2	SPINK2	H2AFY	PRSS57	ITGA9	NPR3	ANGPT1	MSRB3	ERG	ARHGDIB	CYTL1	GNA15	NFE2	IGHJ2P	C1ORF228	TSPAN32	SCARF1	ZFP36L2	P2RX1	CRHBP	MPL	FAM212A	UBA7	FGD5	TMEM173	TIE1	HHEX	LMO2	LYL1	GATA2	ICAM2	SMIM24	STAG3L3	HOXA9	CAT	SERPINB1	AVP	MFNG	C1ORF186	CPXM1	AC255361.1	PCDH12	PLXND1	BCL6B	PECAM1	CD74	C9ORF43	MYB	RAB37	ARHGEF15	GUCY1A3	FLT3	GMFG	CBFA2T3	IQGAP2	TALDO1	VAMP8	SLC17A9	SEPT6	ETS2	FAM117A	SLC39A3	KCNK17	NOTCH4	CXORF36	RASSF1	SERPINB6	SPNS3	IGHJ1	GJA4	ESAM	MRPL16	TBXAS1	NRIP1	ARHGEF6	ROBO4	HSH2D	SHANK3	FAM26F	FGF16	C14ORF159	GCSAML	AIF1	RP11.420K14.2	MYCT1	C3ORF80	ME3	CHST13	COMMD7	SOX18	AFAP1L1	FLI1	ELMO1	RNF220	AP1G2	SHE	RCSD1	DEPTOR
lymphocyte (75)	CD8A	NKG7	LCK	TRAC	TRBC2	IL32	CD3D	CST7	CCL5	CD2	IL2RG	CD27	TMSB4XP1	APOBEC3G	GZMA	APOBEC3C	CD3E	PRF1	CD52	TMSB4XP2	CTSW	IGFLR1	CD8B	SIRPG	AC002075.4	SH3BGRL3	RPS26P31	TRBC1	SEPT1	RP11.777J24.1	PSMB9	PCED1B	PTPRCAP	SIT1	RP11.10G12.1	LTB	RPL18AP15	PRR13P3	KLRK1	GMFG	MYL6P5	PFN1	B2M	PFN1P1	GIMAP4	CD3G	SH2D1A	CLEC2D	CD8A	NKG7	PYHIN1	LAG3	AC002985.3	TRBV9	GNLY	RPS26P28	RPL36AP45	GZMH	RPS26P34	TRAV27	RP4.612B18.1	TRGJ1	TRGJ2	TRGC2	RPS26P15	GPR171	SH2D2A	RP11.10F11.4	HCST	LCK	RP11.646D13.1	CXCR3	RP11.345J4.6	RPS26P47	RP11.318C24.1	CCL4L2	TRAF3IP3	TXNP5	TRBJ2.1	H3F3C	PTPN7	RP1.72A23.3	RP11.330L19.1	AP000281.1	HAVCR2	AC079250.1	RP11.204C16.4	HNRNPKP2	RP11.274J2.1	ICOS	HMGB3P17	RP11.534L6.3	LIMD2	ZNF77	CTD.2207O23.3	TRBJ1.5	GZMB	CXCR6	LIPJ	NLRP6	TRAJ47	RANP6	ITK
dendritic cell (76)	CD11b	CD11c	CD103	CD205
adipocyte (77)	GPAM	LEP	FASN	CIDEC	GPD1	PLIN1	ADIPOQ	LIPE	TUSC5	AOC3	AQP7	DGAT2	PLIN4	C14ORF180	SEMA3G	CHRDL1	THRSP	FABP4	PNPLA2	FP325317.1	LPL	PCOLCE2	ECM2	ACACB	RETSAT	GYG2	CIDEA	GPIHBP1	CD300LG	SCD	G0S2	AGPAT2	FZD4	DEFB132	ADH1B	ADIRF	SAA1	LGALS12	CD36	BOK	DPT	CEBPA	MRAP	PC	SORBS1	RDH5	ITIH5	KCNIP2	ITGA7	PALMD	PPP1R1A	ALDH2	NPR1	MEOX1	ADRA2A	TNMD	ACO1	TIMP4	CFD	RP5.1052I5.2	HRASLS5	GHR	MGLL	ANGPTL2	FHL1	AIFM2	MCAM	MYO1C	SERPINF1	MRAS	SIK2	PALM2.AKAP2	SREBF1	PCNX3	ACACA	BTNL9	EGFL6	AGRN	UCP1	SLC7A10	ACSS2	LEP	GPAM	INTS1	SLC4A2	PRRC2A	FAM83H	SCAF1	LRP5	CLUH	EIF4G1	MARK2	TRIM28	BCAM	KLK2	SCRIB	PRR12	FAM213A	ALDH1L1	PLAC9	ME1	CORO1B	GSN
endothelial cell (78)	PECAM1	VWF	CDH5	TIE1	ROBO4	ACVRL1	CD93	CLEC14A	HSPG2	MMRN2	PTPRB	MCAM	APLN	BCL6B	ECSCR	PLXND1	RASIP1	HYAL2	ADGRL4	FGD5	ARHGEF15	TEK	MMRN1	CALCRL	FAM43A	CXORF36	TGFBR2	ADGRF5	FLT4	SOX18	FAM198B	CDH5	VWF	HHIP	PECAM1	EFEMP1	ESAM	AFAP1L1	DLL4	GJA4	LAMA4	DOCK6	PCDH12	PDGFB	FLT1	ECE1	LYVE1	FZD4	ENG	DYSF	BMP6	EDN1	EPAS1	NOS3	SCARF1	ICAM2	ARAP3	NOTCH4	AC255361.1	TNFSF18	HSPA12B	KIAA1462	CRIM1	EMCN	COL4A2	SOX7	BMX	SHANK3	EGFL7	DCHS1	PEAR1	LRRC32	EPHB4	HTR1B	EHD4	SASH1	PCDH1	ARHGAP31	COL18A1	THBS1	LAMB1	ITGA5	PLVAP	GIMAP8	KDR	GNAI2	PPM1F	CTSS	SEC14L1	TNS1	TLR4	MMP1	NCF2	EVI2B	HLA.E	CSF2RB	MYO1F	TNS2	MPEG1	FLI1	ARAP1	MAP3K3	HCK
smooth muscle cell (79)	MYH11	TAGLN	ACTA2	CNN1	ACTG2	MYL9	MYLK	CSRP1	CALD1	KANK2	PALLD	SMTN	MRVI1	COL16A1	ADGRA2	LIMS2	TAGLN	PGM5	ACTA2	EFEMP2	PARVA	FSTL1	MXRA8	LPP	LMOD1	ADAMTS2	COL5A1	TPM2	COL1A1	LOXL2	ACTN1	TNS1	TUBB6	PDGFRB	FBN1	ITGA11	IGFBP7	EHD2	LTBP2	EMILIN1	PDLIM7	SPARC	LOXL1	SERPINH1	COL6A2	CREB3L1	LAMB2	MRGPRF	TGFB1I1	LAMC1	PTRF	NTN4	ELN	CTGF	CCDC80	ARHGEF17	COL6A1	FERMT2	FLNA	COL4A2	CDH11	PODN	COL5A2	ZNF469	BMP1	ADAMTS12	SSC5D	DDR2	FBXO32	TNS2	SMOC2	ADAM33	KIAA1462	COL14A1	PPP1R12B	GAS6	FN1	RCN3	VASN	PXDN	CKAP4	CD248	MRC2	TPM4	CLIC4	FRMD6	MFGE8	WNT5B	LOX	CRIM1	SCARF2	SYDE1	COPZ2	TIMP2	FKBP10	MYO1C	VCL	ITGB1	COL12A1	ACTC1	CALU	EXT1	CD151
fibroblast (80)	PDGFRA	GSN	DCN	FBLN2	ANGPTL2	CYBRD1	ZCCHC24	KANK2	C1S	C1R	FBLN1	BDKRB2	ECM2	SCARA5	SOD3	CD248	CCDC80	DDR2	MRGPRF	PODN	RECK	LRP1	PDGFRB	ADAM33	FBN1	ADGRA2	TWIST2	PTGIS	EPAS1	FSTL1	MMP2	ISLR	MXRA8	ADH1B	FMOD	EFEMP2	FBLN5	CDH11	PLPP3	COL3A1	COL6A1	HSPB6	TIMP2	PLAC9	PRRX1	IGFBP4	SVEP1	ADAMTS2	PCOLCE	SLIT3	PAMR1	COL6A2	LAMB2	EMILIN1	LAMA4	CLMP	VASN	LOX	EHD2	LOXL1	LAMA2	LTBP2	PARVA	PCDHGA12	CEMIP	MRC2	FKBP9	GREM1	GAS6	RCN3	QSOX1	TNS1	PLIN1	SEMA3G	TUSC5	WNT2	AQP7	ADAMTS5	ADIPOQ	GPD1	CHRDL1	TNXB	NID2	TNS2	SORBS1	LEP	PNPLA2	LPL	DGKI	MFAP4	LIPE	GPIHBP1	AL513122.2	NPR1	LUM	CIDEC	PLIN4	TMBIM1	FZD4	TCF21	RAPGEF3	DPT	ADIRF
endothelial cell (81)	PECAM1	VWF	CDH5	TIE1	ROBO4	ACVRL1	CD93	CLEC14A	HSPG2	MMRN2	PTPRB	MCAM	APLN	BCL6B	ECSCR	PLXND1	RASIP1	HYAL2	ADGRL4	FGD5	ARHGEF15	TEK	MMRN1	CALCRL	FAM43A	CXORF36	TGFBR2	ADGRF5	FLT4	SOX18	FAM198B	CDH5	VWF	HHIP	PECAM1	EFEMP1	ESAM	AFAP1L1	DLL4	GJA4	LAMA4	DOCK6	PCDH12	PDGFB	FLT1	ECE1	LYVE1	FZD4	ENG	DYSF	BMP6	EDN1	EPAS1	NOS3	SCARF1	ICAM2	ARAP3	NOTCH4	AC255361.1	TNFSF18	HSPA12B	KIAA1462	CRIM1	EMCN	COL4A2	SOX7	BMX	SHANK3	EGFL7	DCHS1	PEAR1	LRRC32	EPHB4	HTR1B	EHD4	SASH1	PCDH1	ARHGAP31	COL18A1	THBS1	LAMB1	ITGA5	PLVAP	GIMAP8	KDR	GNAI2	PPM1F	CTSS	SEC14L1	TNS1	TLR4	MMP1	NCF2	EVI2B	HLA.E	CSF2RB	MYO1F	TNS2	MPEG1	FLI1	ARAP1	MAP3K3	HCK
smooth muscle cell (82)	MYH11	TAGLN	ACTA2	CNN1	ACTG2	MYL9	MYLK	CSRP1	CALD1	KANK2	PALLD	SMTN	MRVI1	COL16A1	ADGRA2	LIMS2	TAGLN	PGM5	ACTA2	EFEMP2	PARVA	FSTL1	MXRA8	LPP	LMOD1	ADAMTS2	COL5A1	TPM2	COL1A1	LOXL2	ACTN1	TNS1	TUBB6	PDGFRB	FBN1	ITGA11	IGFBP7	EHD2	LTBP2	EMILIN1	PDLIM7	SPARC	LOXL1	SERPINH1	COL6A2	CREB3L1	LAMB2	MRGPRF	TGFB1I1	LAMC1	PTRF	NTN4	ELN	CTGF	CCDC80	ARHGEF17	COL6A1	FERMT2	FLNA	COL4A2	CDH11	PODN	COL5A2	ZNF469	BMP1	ADAMTS12	SSC5D	DDR2	FBXO32	TNS2	SMOC2	ADAM33	KIAA1462	COL14A1	PPP1R12B	GAS6	FN1	RCN3	VASN	PXDN	CKAP4	CD248	MRC2	TPM4	CLIC4	FRMD6	MFGE8	WNT5B	LOX	CRIM1	SCARF2	SYDE1	COPZ2	TIMP2	FKBP10	MYO1C	VCL	ITGB1	COL12A1	ACTC1	CALU	EXT1	CD151
fibroblast (83)	PDGFRA	GSN	DCN	FBLN2	ANGPTL2	CYBRD1	ZCCHC24	KANK2	C1S	C1R	FBLN1	BDKRB2	ECM2	SCARA5	SOD3	CD248	CCDC80	DDR2	MRGPRF	PODN	RECK	LRP1	PDGFRB	ADAM33	FBN1	ADGRA2	TWIST2	PTGIS	EPAS1	FSTL1	MMP2	ISLR	MXRA8	ADH1B	FMOD	EFEMP2	FBLN5	CDH11	PLPP3	COL3A1	COL6A1	HSPB6	TIMP2	PLAC9	PRRX1	IGFBP4	SVEP1	ADAMTS2	PCOLCE	SLIT3	PAMR1	COL6A2	LAMB2	EMILIN1	LAMA4	CLMP	VASN	LOX	EHD2	LOXL1	LAMA2	LTBP2	PARVA	PCDHGA12	CEMIP	MRC2	FKBP9	GREM1	GAS6	RCN3	QSOX1	TNS1	PLIN1	SEMA3G	TUSC5	WNT2	AQP7	ADAMTS5	ADIPOQ	GPD1	CHRDL1	TNXB	NID2	TNS2	SORBS1	LEP	PNPLA2	LPL	DGKI	MFAP4	LIPE	GPIHBP1	AL513122.2	NPR1	LUM	CIDEC	PLIN4	TMBIM1	FZD4	TCF21	RAPGEF3	DPT	ADIRF
endothelial cell (84)	PECAM1	VWF	CDH5	TIE1	ROBO4	ACVRL1	CD93	CLEC14A	HSPG2	MMRN2	PTPRB	MCAM	APLN	BCL6B	ECSCR	PLXND1	RASIP1	HYAL2	ADGRL4	FGD5	ARHGEF15	TEK	MMRN1	CALCRL	FAM43A	CXORF36	TGFBR2	ADGRF5	FLT4	SOX18	FAM198B	CDH5	VWF	HHIP	PECAM1	EFEMP1	ESAM	AFAP1L1	DLL4	GJA4	LAMA4	DOCK6	PCDH12	PDGFB	FLT1	ECE1	LYVE1	FZD4	ENG	DYSF	BMP6	EDN1	EPAS1	NOS3	SCARF1	ICAM2	ARAP3	NOTCH4	AC255361.1	TNFSF18	HSPA12B	KIAA1462	CRIM1	EMCN	COL4A2	SOX7	BMX	SHANK3	EGFL7	DCHS1	PEAR1	LRRC32	EPHB4	HTR1B	EHD4	SASH1	PCDH1	ARHGAP31	COL18A1	THBS1	LAMB1	ITGA5	PLVAP	GIMAP8	KDR	GNAI2	PPM1F	CTSS	SEC14L1	TNS1	TLR4	MMP1	NCF2	EVI2B	HLA.E	CSF2RB	MYO1F	TNS2	MPEG1	FLI1	ARAP1	MAP3K3	HCK
smooth muscle cell (85)	MYH11	TAGLN	ACTA2	CNN1	ACTG2	MYL9	MYLK	CSRP1	CALD1	KANK2	PALLD	SMTN	MRVI1	COL16A1	ADGRA2	LIMS2	TAGLN	PGM5	ACTA2	EFEMP2	PARVA	FSTL1	MXRA8	LPP	LMOD1	ADAMTS2	COL5A1	TPM2	COL1A1	LOXL2	ACTN1	TNS1	TUBB6	PDGFRB	FBN1	ITGA11	IGFBP7	EHD2	LTBP2	EMILIN1	PDLIM7	SPARC	LOXL1	SERPINH1	COL6A2	CREB3L1	LAMB2	MRGPRF	TGFB1I1	LAMC1	PTRF	NTN4	ELN	CTGF	CCDC80	ARHGEF17	COL6A1	FERMT2	FLNA	COL4A2	CDH11	PODN	COL5A2	ZNF469	BMP1	ADAMTS12	SSC5D	DDR2	FBXO32	TNS2	SMOC2	ADAM33	KIAA1462	COL14A1	PPP1R12B	GAS6	FN1	RCN3	VASN	PXDN	CKAP4	CD248	MRC2	TPM4	CLIC4	FRMD6	MFGE8	WNT5B	LOX	CRIM1	SCARF2	SYDE1	COPZ2	TIMP2	FKBP10	MYO1C	VCL	ITGB1	COL12A1	ACTC1	CALU	EXT1	CD151
fibroblast (86)	PDGFRA	GSN	DCN	FBLN2	ANGPTL2	CYBRD1	ZCCHC24	KANK2	C1S	C1R	FBLN1	BDKRB2	ECM2	SCARA5	SOD3	CD248	CCDC80	DDR2	MRGPRF	PODN	RECK	LRP1	PDGFRB	ADAM33	FBN1	ADGRA2	TWIST2	PTGIS	EPAS1	FSTL1	MMP2	ISLR	MXRA8	ADH1B	FMOD	EFEMP2	FBLN5	CDH11	PLPP3	COL3A1	COL6A1	HSPB6	TIMP2	PLAC9	PRRX1	IGFBP4	SVEP1	ADAMTS2	PCOLCE	SLIT3	PAMR1	COL6A2	LAMB2	EMILIN1	LAMA4	CLMP	VASN	LOX	EHD2	LOXL1	LAMA2	LTBP2	PARVA	PCDHGA12	CEMIP	MRC2	FKBP9	GREM1	GAS6	RCN3	QSOX1	TNS1	PLIN1	SEMA3G	TUSC5	WNT2	AQP7	ADAMTS5	ADIPOQ	GPD1	CHRDL1	TNXB	NID2	TNS2	SORBS1	LEP	PNPLA2	LPL	DGKI	MFAP4	LIPE	GPIHBP1	AL513122.2	NPR1	LUM	CIDEC	PLIN4	TMBIM1	FZD4	TCF21	RAPGEF3	DPT	ADIRF
endothelial cell (87)	PECAM1	VWF	CDH5	TIE1	ROBO4	ACVRL1	CD93	CLEC14A	HSPG2	MMRN2	PTPRB	MCAM	APLN	BCL6B	ECSCR	PLXND1	RASIP1	HYAL2	ADGRL4	FGD5	ARHGEF15	TEK	MMRN1	CALCRL	FAM43A	CXORF36	TGFBR2	ADGRF5	FLT4	SOX18	FAM198B	CDH5	VWF	HHIP	PECAM1	EFEMP1	ESAM	AFAP1L1	DLL4	GJA4	LAMA4	DOCK6	PCDH12	PDGFB	FLT1	ECE1	LYVE1	FZD4	ENG	DYSF	BMP6	EDN1	EPAS1	NOS3	SCARF1	ICAM2	ARAP3	NOTCH4	AC255361.1	TNFSF18	HSPA12B	KIAA1462	CRIM1	EMCN	COL4A2	SOX7	BMX	SHANK3	EGFL7	DCHS1	PEAR1	LRRC32	EPHB4	HTR1B	EHD4	SASH1	PCDH1	ARHGAP31	COL18A1	THBS1	LAMB1	ITGA5	PLVAP	GIMAP8	KDR	GNAI2	PPM1F	CTSS	SEC14L1	TNS1	TLR4	MMP1	NCF2	EVI2B	HLA.E	CSF2RB	MYO1F	TNS2	MPEG1	FLI1	ARAP1	MAP3K3	HCK
